county,all_industries,nat_resource_mining,construction,manufacturing,trade_trans_util,information,financial,prof_bus_services,education_health,leisure_hospitality,other,government,housing_units,highway_miles,lane_miles,number_of_bridges,state_facilities,facilities_sq_ft,conservation_lands,con_land_acres,non_cons_lands,non_con_acreage,revenue_(000),revenue_per_capita,tota_spending_(000),spending_per_capita,spending_pct_revenue,govt_service_spending,ggs_per_capita,ggs_pct_revenue,public_safety_(000),ps_per_capita,ps_pct_revenue,phys_env_(000),pe_per_capita,pe_pct_revenue,transportation_(000),transp_per_capita,transp_pct_revenue,economic_environment_(000),ee_per_capita,ee_pct_revenue,human_services_(000),hs_per_capita,hs_pct_revenue
alachua,7145,81,652,206,1294,108,663,1662,955,713,646,0,112766,293.4,1038.1,70,365,1715400,160,39553.9,266,12458.7,371979.0,1447.04,384797.3,1496.9,103.4,92238.56,358.82,24.8,106840.8,415.62,28.7,24687.23,96.04,6.6,16083.32,62.57,4.3,12643.76,49.19,3.4,16334.64,63.54,8.0
baker,425,6,58,5,124,7,25,44,38,43,39,34,9687,83.9,225.9,36,146,1011633,24,37865.7,12,661.2,50261.7,1863.96,49131.84,1822.06,97.8,6782.15,251.52,13.5,25012.5,927.59,49.8,810.64,30.06,1.6,3832.29,142.12,7.6,1274.45,47.26,2.5,806.17,29.9,1.6
bay,5576,34,683,147,1203,49,585,963,635,698,414,130,99650,215.1,671.2,52,106,545051,120,7219.0,174,79.6,241091.2,1369.71,250862.17,1425.22,104.1,34913.1,198.35,14.5,72036.44,409.26,29.9,50215.39,285.29,20.8,25761.36,146.36,10.7,44537.38,253.03,18.5,6152.34,34.95,2.6
bradford,538,22,57,16,141,7,36,74,52,53,43,32,11011,69.0,178.6,24,147,1288365,8,307.6,63,11041.1,37637.0,1371.61,38007.24,1385.1,101.0,4985.73,181.7,13.2,11429.99,416.54,30.4,1314.96,47.92,3.5,4576.09,166.77,12.2,688.45,25.09,1.8,876.22,31.93,2.3
brevard,15835,53,1952,637,3002,210,1509,3558,1868,1435,1339,171,269864,335.4,1398.2,174,60,196689,1243,32965.8,135,72.6,733752.6,1289.73,711142.61,1249.99,96.9,206612.28,363.17,28.2,184037.46,323.49,25.1,97595.82,171.55,13.3,67203.75,118.13,9.2,18962.48,33.33,2.6,22617.88,39.76,3.1
broward,69176,143,5679,1985,14535,1068,7324,17727,7859,5413,5939,303,810388,451.4,2483.4,455,216,1904273,446,249692.9,218,24262.4,2953292.0,1592.49,2782796.0,1500.55,94.2,443126.0,238.94,15.0,824210.0,444.43,27.9,179145.0,96.6,6.1,562931.0,303.55,19.1,13664.0,7.37,0.5,150872.0,81.35,5.1
calhoun,227,17,33,3,55,4,12,19,23,20,14,24,5999,95.9,193.9,23,56,320194,4,50.5,12,199.6,24115.3,1654.0,23601.61,1618.77,97.9,3140.1,215.37,13.0,3751.76,257.32,15.6,328.84,22.55,1.4,13783.85,945.39,57.2,337.32,23.14,1.4,311.64,21.37,1.3
charlotte,4638,33,705,108,876,53,510,868,587,409,397,56,100632,97.3,368.7,59,76,452273,233,104112.9,53,300.7,551252.1,3234.1,540568.55,3171.42,98.1,85453.79,501.34,15.5,113906.5,668.27,20.7,85679.71,502.67,15.5,100010.51,586.74,18.1,3411.1,20.01,0.6,15321.01,89.89,2.8
citrus,3093,35,441,68,624,36,304,542,382,315,275,49,78026,88.5,294.3,12,111,243568,373,90918.3,55,159.0,202574.6,1416.07,203002.1,1419.06,100.2,38182.45,266.91,18.8,72449.08,506.45,35.8,22128.47,154.69,10.9,35255.15,246.45,17.4,1782.74,12.46,0.9,9417.97,65.84,4.6
clay,4428,29,699,106,865,48,399,841,584,369,383,57,75478,109.9,371.7,32,166,303307,68,26016.2,109,1986.1,211701.2,1031.07,206511.7,1005.8,97.5,39021.74,190.05,18.4,75844.06,369.39,35.8,18901.94,92.06,8.9,25982.14,126.54,12.3,1730.89,8.43,0.8,5590.84,27.23,2.6
