county,num_emp_rca_Accommodation & Food Service,num_emp_rca_Admin._Support_Waste Management Services,num_emp_rca_Agriculture_Forestry_Fishing_Hunting,num_emp_rca_Arts_Entertainment_Recreation,num_emp_rca_Construction,num_emp_rca_Educational Services,num_emp_rca_Finance & Insurance,num_emp_rca_Healthcare & Social Assistance,num_emp_rca_Information,num_emp_rca_Management of Companies & Enterprises,num_emp_rca_Manufacturing,num_emp_rca_Mining_Quarrying_Oil_Gas Extraction,num_emp_rca_Other services_except public administration,num_emp_rca_Professional_Scientific_Tech Services,num_emp_rca_Public Admin.,num_emp_rca_Real Estate_Rental & Leasing,num_emp_rca_Retail trade,num_emp_rca_Transportation & Warehousing,num_emp_rca_Utilities,num_emp_rca_Wholesale trade
alachua,1.19357,0.988769,0.814928,1.07509,0.682758,2.27475,0.639125,1.32615,0.597872,0.693594,0.405275,0.616266,1.26732,0.733338,0.729998,0.909452,0.879142,0.532053,1.14002,0.332817
baker,0.6537,1.22644,0.444973,0.321499,1.39516,0.78037,0.679071,1.28299,0.599213,0.0,0.597901,0.0,0.827931,0.592165,2.27455,0.46142,1.15739,1.80897,1.18243,0.978641
bay,1.62141,1.41679,0.482309,0.874105,1.04252,0.796082,0.54059,0.92799,0.70053,0.248645,0.574171,0.580344,1.03792,0.829081,1.59045,1.71448,1.28337,0.85797,0.675524,0.642138
bradford,1.04013,1.11362,0.61727,0.377849,1.06921,0.838199,0.754454,1.34404,0.149664,0.0,0.541571,0.66471,1.10275,0.709975,3.34653,0.3833,0.84434,1.119,0.349714,0.521747
brevard,1.19204,1.35805,0.887359,1.07641,1.01057,0.844726,0.546154,0.95421,0.629339,0.832687,1.05436,0.0967683,1.12659,1.03401,1.103,1.15515,1.07927,1.15177,0.898371,0.430543
broward,1.10719,1.42614,0.269771,1.30174,1.07563,0.787591,1.02561,0.988572,1.00396,0.251148,0.523722,0.167017,1.11832,0.935435,0.862129,1.58004,1.14182,1.14624,0.612757,1.3209
calhoun,1.22359,0.358923,6.26951,0.209877,1.54573,0.680018,0.590295,1.15208,0.470941,0.0,0.513089,1.72154,1.16642,0.325757,2.90387,0.40856,0.953096,0.515874,1.05347,0.754201
charlotte,1.2314,1.47502,0.402688,1.11004,1.44618,0.70672,0.729043,1.06833,0.861497,0.28438,0.385201,0.141711,1.17254,0.776114,0.860049,1.62915,1.53127,0.756007,1.11628,0.699085
citrus,1.24835,1.17131,0.539201,1.29929,1.30373,0.811345,0.576485,1.24452,0.466912,0.0,0.426836,0.618275,1.17076,0.614423,1.08041,1.12321,1.32563,0.921093,3.26227,0.63342
clay,0.983967,1.2071,0.240754,0.646888,1.22546,0.836467,1.26592,1.06906,0.798797,0.691079,0.477525,0.176249,0.99704,0.765565,1.32623,1.21138,1.17554,1.63167,1.18718,1.0424
collier,1.57792,2.29817,3.69588,2.11893,1.79646,0.500743,0.707114,0.738184,0.355192,0.0,0.27554,0.0,1.26944,0.822497,0.435188,2.1809,1.0017,0.744875,1.10959,0.733024
columbia,1.1434,1.21193,0.822778,0.374085,1.24726,0.815988,0.580487,1.24525,0.543967,0.0,0.531129,0.835986,0.954767,0.493327,2.24839,0.735618,1.23773,1.37768,0.595816,0.484907
desoto,0.748296,1.24744,16.9162,0.810995,1.66696,0.532573,0.42346,0.556765,0.226574,0.0,0.532226,0.256697,0.97087,0.224997,1.44159,0.590231,1.05187,0.891817,1.95234,0.722102
dixie,0.784239,0.722065,3.04376,0.250277,1.78404,0.818632,0.349191,0.991498,0.132938,0.0,1.07609,0.0,0.645029,0.085902,3.19726,1.4947,1.14378,0.942442,1.50138,0.305109
duval,1.05868,1.411,0.133099,0.951704,1.11446,0.752886,2.04882,0.964526,0.635995,0.555399,0.524554,0.228088,0.878954,0.943949,1.08248,0.83711,1.02146,1.42279,0.351619,1.1597
