county,number of claims_michael,closed claims (paid)_michael,closed claims (not paid)_michael,number claims open_michael,percent claims closed_michael
bay,"81,736","46,747","6,717","28,272",65.4%
calhoun,"3,900","2,870",237,793,79.7%
franklin,"2,220",889,733,598,73.1%
gadsden,"5,676","3,829",951,896,84.2%
gulf,"7,801","4,160","1,039","2,602",66.6%
hamilton,10,4,3,3,70.0%
holmes,917,588,161,168,81.7%
jackson,"13,362","9,835",969,"2,558",80.9%
jefferson,174,103,44,27,84.5%
leon,"9,319","5,562","2,525","1,232",86.8%
liberty,"1,106",840,94,172,84.4%
madison,46,24,11,11,76.1%
suwannee,19,12,6,1,94.7%
taylor,49,31,13,5,89.8%
wakulla,"1,313",774,349,190,85.5%
washington,794,315,293,186,76.6%
