county,all_industries,nat_resource_mining,construction,manufacturing,trade_trans_util,information,financial,prof_bus_services,education_health,leisure_hospitality,other_x,government,housing_units,highway_miles,lane_miles,number_of_bridges,state_facilities,facilities_sq_ft,conservation_lands,con_land_acres,non_cons_lands,non_con_acreage,revenue_(000),revenue_per_capita,tota_spending_(000),spending_per_capita,spending_pct_revenue,govt_service_spending,ggs_per_capita,ggs_pct_revenue,public_safety_(000),ps_per_capita,ps_pct_revenue,phys_env_(000),pe_per_capita,pe_pct_revenue,transportation_(000),transp_per_capita,transp_pct_revenue,economic_environment_(000),ee_per_capita,ee_pct_revenue,human_services_(000),hs_per_capita,hs_pct_revenue,num_emp_rca_Accommodation & Food Service,num_emp_rca_Admin._Support_Waste Management Services,num_emp_rca_Agriculture_Forestry_Fishing_Hunting,num_emp_rca_Arts_Entertainment_Recreation,num_emp_rca_Construction,num_emp_rca_Educational Services,num_emp_rca_Finance & Insurance,num_emp_rca_Healthcare & Social Assistance,num_emp_rca_Information,num_emp_rca_Management of Companies & Enterprises,num_emp_rca_Manufacturing,num_emp_rca_Mining_Quarrying_Oil_Gas Extraction,num_emp_rca_Other services_except public administration,num_emp_rca_Professional_Scientific_Tech Services,num_emp_rca_Public Admin.,num_emp_rca_Real Estate_Rental & Leasing,num_emp_rca_Retail trade,num_emp_rca_Transportation & Warehousing,num_emp_rca_Utilities,num_emp_rca_Wholesale trade,biomass,coal,hydroelectric,natural gas,nuclear,other_y,petroleum,solar,ihProgramDeclared_Coastal Storm,ihProgramDeclared_Fire,ihProgramDeclared_Flood,ihProgramDeclared_Freezing,ihProgramDeclared_Human Cause,ihProgramDeclared_Hurricane,ihProgramDeclared_Severe Storms,ihProgramDeclared_Tornado,iaProgramDeclared_Coastal Storm,iaProgramDeclared_Fire,iaProgramDeclared_Flood,iaProgramDeclared_Freezing,iaProgramDeclared_Human Cause,iaProgramDeclared_Hurricane,iaProgramDeclared_Severe Storms,iaProgramDeclared_Tornado,paProgramDeclared_Coastal Storm,paProgramDeclared_Fire,paProgramDeclared_Flood,paProgramDeclared_Freezing,paProgramDeclared_Human Cause,paProgramDeclared_Hurricane,paProgramDeclared_Severe Storms,paProgramDeclared_Tornado,hmProgramDeclared_Coastal Storm,hmProgramDeclared_Fire,hmProgramDeclared_Flood,hmProgramDeclared_Freezing,hmProgramDeclared_Human Cause,hmProgramDeclared_Hurricane,hmProgramDeclared_Severe Storms,hmProgramDeclared_Tornado,number of claims_irma,closed claims (paid)_irma,closed claims (not paid)_irma,number claims open_irma,percent claims closed_irma,number of claims_michael,closed claims (paid)_michael,closed claims (not paid)_michael,number claims open_michael,percent claims closed_michael,foreign_avg,us_avg,avg_age,hospitals
alachua,7145,81,652,206,1294,108,663,1662,955,713,646,0,112766,293.4,1038.1,70,365,1715400,160,39553.9,266,12458.7,371979.0,1447.04,384797.3,1496.9,103.4,92238.56,358.82,24.8,106840.8,415.62,28.7,24687.23,96.04,6.6,16083.32,62.57,4.3,12643.76,49.19,3.4,16334.64,63.54,8.0,1.19357,0.988769,0.814928,1.0750899999999999,0.682758,2.27475,0.639125,1.32615,0.5978720000000001,0.6935939999999999,0.405275,0.616266,1.26732,0.733338,0.7299979999999999,0.909452,0.879142,0.532053,1.14002,0.33281700000000003,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,"4,218 ","2,353 ","1,755 ",110 ,97.4%,0,0,0,0,0,38.8,30.3,34.55,6
baker,425,6,58,5,124,7,25,44,38,43,39,34,9687,83.9,225.9,36,146,1011633,24,37865.7,12,661.2,50261.7,1863.96,49131.84,1822.06,97.8,6782.15,251.52,13.5,25012.5,927.59,49.8,810.64,30.06,1.6,3832.29,142.12,7.6,1274.45,47.26,2.5,806.17,29.9,1.6,0.6537,1.22644,0.44497299999999995,0.321499,1.39516,0.78037,0.679071,1.2829899999999999,0.599213,0.0,0.597901,0.0,0.827931,0.5921649999999999,2.27455,0.46142,1.15739,1.80897,1.1824299999999999,0.978641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,5.0,1.0,0.0,0.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,567 ,385 ,175 ,7 ,98.8%,0,0,0,0,0,52.3,36.2,44.25,2
bay,5576,34,683,147,1203,49,585,963,635,698,414,130,99650,215.1,671.2,52,106,545051,120,7219.0,174,79.6,241091.2,1369.71,250862.17,1425.22,104.1,34913.1,198.35,14.5,72036.44,409.26,29.9,50215.39,285.29,20.8,25761.36,146.36,10.7,44537.38,253.03,18.5,6152.34,34.95,2.6,1.62141,1.41679,0.482309,0.8741049999999999,1.0425200000000001,0.796082,0.54059,0.92799,0.70053,0.24864499999999998,0.574171,0.580344,1.0379200000000002,0.829081,1.59045,1.71448,1.2833700000000001,0.8579700000000001,0.675524,0.642138,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,201 ,123 ,72 ,6 ,97.0%,"81,736","46,747","6,717","28,272",65.4%,45.8,39.2,42.5,5
bradford,538,22,57,16,141,7,36,74,52,53,43,32,11011,69.0,178.6,24,147,1288365,8,307.6,63,11041.1,37637.0,1371.61,38007.24,1385.1,101.0,4985.73,181.7,13.2,11429.99,416.54,30.4,1314.96,47.92,3.5,4576.09,166.77,12.2,688.45,25.09,1.8,876.22,31.93,2.3,1.04013,1.11362,0.61727,0.377849,1.06921,0.838199,0.754454,1.34404,0.14966400000000002,0.0,0.541571,0.66471,1.10275,0.709975,3.3465300000000004,0.3833,0.84434,1.119,0.34971399999999997,0.5217470000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,850 ,496 ,342 ,12 ,98.6%,0,0,0,0,0,53.1,40.7,46.90000000000001,1
brevard,15835,53,1952,637,3002,210,1509,3558,1868,1435,1339,171,269864,335.4,1398.2,174,60,196689,1243,32965.8,135,72.6,733752.6,1289.73,711142.61,1249.99,96.9,206612.28,363.17,28.2,184037.46,323.49,25.1,97595.82,171.55,13.3,67203.75,118.13,9.2,18962.48,33.33,2.6,22617.88,39.76,3.1,1.19204,1.35805,0.887359,1.07641,1.01057,0.844726,0.546154,0.95421,0.629339,0.8326870000000001,1.05436,0.0967683,1.12659,1.03401,1.103,1.15515,1.0792700000000002,1.1517700000000002,0.8983709999999999,0.430543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,7.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,"46,883 ","33,403 ","11,173 ","2,307 ",95.1%,0,0,0,0,0,50.4,46.7,48.55,11
broward,69176,143,5679,1985,14535,1068,7324,17727,7859,5413,5939,303,810388,451.4,2483.4,455,216,1904273,446,249692.9,218,24262.4,2953292.0,1592.49,2782796.0,1500.55,94.2,443126.0,238.94,15.0,824210.0,444.43,27.9,179145.0,96.6,6.1,562931.0,303.55,19.1,13664.0,7.37,0.5,150872.0,81.35,5.1,1.10719,1.42614,0.269771,1.30174,1.0756299999999999,0.7875909999999999,1.0256100000000001,0.9885719999999999,1.00396,0.251148,0.523722,0.167017,1.11832,0.935435,0.862129,1.58004,1.14182,1.14624,0.612757,1.3209,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,"84,042 ","44,524 ","28,450 ","11,068 ",86.8%,0,0,0,0,0,47.9,33.4,40.65,25
calhoun,227,17,33,3,55,4,12,19,23,20,14,24,5999,95.9,193.9,23,56,320194,4,50.5,12,199.6,24115.3,1654.0,23601.61,1618.77,97.9,3140.1,215.37,13.0,3751.76,257.32,15.6,328.84,22.55,1.4,13783.85,945.39,57.2,337.32,23.14,1.4,311.64,21.37,1.3,1.22359,0.358923,6.2695099999999995,0.209877,1.5457299999999998,0.680018,0.590295,1.15208,0.470941,0.0,0.513089,1.72154,1.16642,0.325757,2.90387,0.40856,0.9530959999999999,0.5158739999999999,1.0534700000000001,0.754201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,24 ,20 ,4 ,0 ,100.0%,"3,900","2,870",237,793,79.7%,42.9,40.4,41.65,1
charlotte,4638,33,705,108,876,53,510,868,587,409,397,56,100632,97.3,368.7,59,76,452273,233,104112.9,53,300.7,551252.1,3234.1,540568.55,3171.42,98.1,85453.79,501.34,15.5,113906.5,668.27,20.7,85679.71,502.67,15.5,100010.51,586.74,18.1,3411.1,20.01,0.6,15321.01,89.89,2.8,1.2314,1.47502,0.402688,1.11004,1.44618,0.70672,0.729043,1.06833,0.861497,0.28438,0.385201,0.141711,1.17254,0.7761140000000001,0.860049,1.62915,1.5312700000000001,0.756007,1.11628,0.6990850000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,"7,949 ","4,572 ","3,117 ",260 ,96.7%,0,0,0,0,0,61.0,57.3,59.15,3
citrus,3093,35,441,68,624,36,304,542,382,315,275,49,78026,88.5,294.3,12,111,243568,373,90918.3,55,159.0,202574.6,1416.07,203002.1,1419.06,100.2,38182.45,266.91,18.8,72449.08,506.45,35.8,22128.47,154.69,10.9,35255.15,246.45,17.4,1782.74,12.46,0.9,9417.97,65.84,4.6,1.24835,1.17131,0.539201,1.29929,1.3037299999999998,0.811345,0.576485,1.24452,0.466912,0.0,0.426836,0.618275,1.17076,0.6144229999999999,1.08041,1.12321,1.3256299999999999,0.921093,3.26227,0.63342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,"2,579 ","1,356 ","1,160 ",63 ,97.6%,0,0,0,0,0,61.8,55.5,58.65,2
clay,4428,29,699,106,865,48,399,841,584,369,383,57,75478,109.9,371.7,32,166,303307,68,26016.2,109,1986.1,211701.2,1031.07,206511.7,1005.8,97.5,39021.74,190.05,18.4,75844.06,369.39,35.8,18901.94,92.06,8.9,25982.14,126.54,12.3,1730.89,8.43,0.8,5590.84,27.23,2.6,0.983967,1.2071,0.240754,0.646888,1.22546,0.836467,1.2659200000000002,1.0690600000000001,0.798797,0.691079,0.477525,0.176249,0.9970399999999999,0.7655649999999999,1.32623,1.21138,1.17554,1.6316700000000002,1.18718,1.0424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,"9,394 ","6,268 ","2,903 ",223 ,97.6%,0,0,0,0,0,47.4,38.0,42.7,3
