X,Y,OBJECTID,Plant_Name,Utility_Na,sector_nam,City,County,StateName,Zip,Street_Add,PrimSource,Total_MW,source_des,tech_desc,GlobalID
-120.883331000425301,35.798575999582795,3122,Nacimiento Hydro Project,Monterey Cnty Water Res Agency,IPP Non-CHP,Bradley,San Luis Obispo,California,93426,10690 Nacimiento Lake Drive,hydroelectric,4,Hydroelectric = 4 MW,Conventional Hydroelectric,04f1df81-da91-4ad1-8c7f-922c2cf13be3
-71.594962000395981,43.285760999770389,3123,Penacook Lower Falls,Briar-Hydro Associates,IPP Non-CHP,Boscawen,Merrimack,New Hampshire,3303,Two Commercial Street,hydroelectric,4.6,Hydroelectric = 4.6 MW,Conventional Hydroelectric,d43abc5f-aba9-4446-8ac9-d194848a4a98
-75.016899999835061,43.185300000294831,3124,Newport Hydro,Eagle Creek RE LLC,IPP Non-CHP,Newport,Herkimer,New York,13416,Bridge St.,hydroelectric,1.7,Hydroelectric = 1.7 MW,Conventional Hydroelectric,9b2b0bc8-0c4e-4d54-9c8e-9f73eb3f5242
-86.798729999889531,33.568163999968704,3125,Sloss Industries Corp,"ERP Compliant Coke, LLC",Industrial CHP,Birmingham,Jefferson,Alabama,35207,3500 35th Avenue North,other,16,Other = 16 MW,Other Gases,16eaf650-e966-48f0-90d7-55e187fad409
-117.155023000111328,43.771895999700689,3126,Michell Butte Power Project,Owyhee Irrigation District,IPP Non-CHP,Nyssa,Malheur,Oregon,97913,Owyhee Lake Rd,hydroelectric,1.8,Hydroelectric = 1.8 MW,Conventional Hydroelectric,b3b93286-a1ef-48d0-8d6b-8114e97a31f4
-117.243740000300761,43.641602999578822,3127,Owyhee Dam Power Project,Owyhee Irrigation District,IPP Non-CHP,Nyssa,Malheur,Oregon,97913,1475 Owyhee Lake Rd,hydroelectric,2.9,Hydroelectric = 2.9 MW,Conventional Hydroelectric,ed182f10-869e-4fbb-8fca-c93a267c13fc
-117.23267399990516,43.642023000061442,3128,Tunnel 1 Power Project,Owyhee Irrigation District,IPP Non-CHP,Nyssa,Malheur,Oregon,97913,1475 Owyhee Lake Rd,hydroelectric,6.7,Hydroelectric = 6.7 MW,Conventional Hydroelectric,777f8bfa-338f-4acb-9edb-6d63ce8cbf12
-115.511948999946355,32.903826000169829,3129,Mesquite Lake Energy Park Plant 2,Mesquite Lake Energy Park,IPP Non-CHP,Imperial,Imperial,California,92251,3559 Highway 111,biomass,15.5,Biomass = 15.5 MW,Wood/Wood Waste Biomass,16f22850-b2df-4376-aa6f-52ca1e53acf5
-71.530000000299708,41.806900000035,3130,Ridgewood Providence Power,Rhode Island LFG Genco,IPP Non-CHP,Johnston,Providence,Rhode Island,2919,65 Shun Pike,biomass,6,Biomass = 6 MW,Landfill Gas,2dad12ea-5f63-458b-81d8-b41fc5583489
-86.236700000204792,41.709400000409744,3131,University of Notre Dame,University of Notre Dame,Commercial CHP,Notre Dame,St Joseph,Indiana,46556,100 Facilties Building,coal,28.2,"Coal = 16.4 MW, Natural Gas = 4.7 MW, Petroleum = 7.1 MW","Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids",c0751271-59e4-4aca-a745-4fd4f259a96a
-76.476399999760133,42.44279999962032,3132,Cornell University Central Heat,Cornell University,Commercial CHP,Ithaca,Tompkins,New York,14853,Route 366,natural gas,32.7,"Natural Gas = 30.9 MW, Petroleum = 1.8 MW","Natural Gas Fired Combined Cycle; Petroleum Liquids;",fcea0972-be88-473b-88bf-345539a88784
-82.138800000019955,28.166300000344791,3133,"The Mosaic Company, Plant City Facility","The Mosaic Company, Plant City Facility",Industrial CHP,Plant City,Hillsborough,Florida,33565,10608 Paul Buchman Hwy,other,27.9,Other = 27.9 MW,All Other,2bb8f277-c74a-4cd7-bcb5-2e9ea4dae8c9
-76.877099999765164,40.265300000194884,3134,Paxton Creek Cogeneration,NRG Energy Center Paxton LLC,IPP CHP,Harrisburg,Dauphin,Pennsylvania,17105,9th & Walnut St,natural gas,12,Natural Gas = 12 MW,Natural Gas Internal Combustion Engine,dccc4f57-1a53-4bb5-bf04-17b35a85c60d
